Match,Team,Batting_1_name,Batting_1_runs,Batting_1_balls,Batting_1_4s,Batting_1_6s,Batting_1_strike_rate,Batting_2_name,Batting_2_runs,Batting_2_balls,Batting_2_4s,Batting_2_6s,Batting_2_strike_rate,Batting_3_name,Batting_3_runs,Batting_3_balls,Batting_3_4s,Batting_3_6s,Batting_3_strike_rate,Batting_4_name,Batting_4_runs,Batting_4_balls,Batting_4_4s,Batting_4_6s,Batting_4_strike_rate,Batting_5_name,Batting_5_runs,Batting_5_balls,Batting_5_4s,Batting_5_6s,Batting_5_strike_rate,Batting_6_name,Batting_6_runs,Batting_6_balls,Batting_6_4s,Batting_6_6s,Batting_6_strike_rate,Batting_7_name,Batting_7_runs,Batting_7_balls,Batting_7_4s,Batting_7_6s,Batting_7_strike_rate,Batting_8_name,Batting_8_runs,Batting_8_balls,Batting_8_4s,Batting_8_6s,Batting_8_strike_rate,Batting_9_name,Batting_9_runs,Batting_9_balls,Batting_9_4s,Batting_9_6s,Batting_9_strike_rate,Batting_10_name,Batting_10_runs,Batting_10_balls,Batting_10_4s,Batting_10_6s,Batting_10_strike_rate,Batting_11_name,Batting_11_runs,Batting_11_balls,Batting_11_4s,Batting_11_6s,Batting_11_strike_rate
1,England,Jonny Bairstow,33,35,4,1,94.28,Dawid Malan,14,24,2,0,58.33,Joe Root,77,86,4,1,89.53,Harry Brook,25.0,16.0,4.0,1.0,156.25,Moeen Ali,11.0,17.0,1.0,0.0,64.7,Jos Buttler(c),43.0,42.0,2.0,2.0,102.38,Liam Livingstone,20.0,22.0,3.0,0.0,90.9,Sam Curran,14.0,19.0,0.0,0.0,73.68,Chris Woakes,11.0,12.0,1.0,0.0,91.66,Adil Rashid,15.0,13.0,0.0,1.0,115.38,Mark Wood,13,14,0,0,92.85
1,New Zealand,Devon Conway,152,121,19,3,125.61,Will Young,0,1,0,0,0.0,Rachin Ravindra,123,96,11,5,128.12,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0,0,0,0,0.0
2,Pakistan,Fakhar Zaman,12,15,3,0,80.0,Imam-ul-Haq,15,19,2,0,78.94,Babar Azam(c),5,18,0,0,27.77,Mohammad Rizwan,68.0,75.0,8.0,0.0,90.66,Saud Shakeel,68.0,52.0,9.0,1.0,130.76,Iftikhar Ahmed,9.0,11.0,1.0,0.0,81.81,Mohammad Nawaz,39.0,43.0,4.0,0.0,90.69,Shadab Khan,32.0,34.0,2.0,1.0,94.11,Hasan Ali,0.0,1.0,0.0,0.0,0.0,Shaheen Shah Afridi,13.0,12.0,2.0,0.0,108.33,Haris Rauf,16,14,2,1,114.28
2,Netherlands,Vikramjit Singh,52,67,4,1,77.61,Max O'Dowd,5,12,1,0,41.66,Colin Ackermann,17,21,3,0,80.95,Bas de Leede,67.0,68.0,6.0,2.0,98.52,Teja Nidamanuru,5.0,9.0,1.0,0.0,55.55,Scott Edwards(c),0.0,2.0,0.0,0.0,0.00,Saqib Zulfiqar,10.0,18.0,1.0,0.0,55.55,Roelof van der Merwe,4.0,7.0,0.0,0.0,57.14,Logan van Beek,28.0,28.0,3.0,1.0,100.0,Aryan Dutt,1.0,2.0,0.0,0.0,50.0,Paul van Meekeren,7,12,1,0,58.33
3,Afghanistan,Rahmanullah Gurbaz,47,62,4,1,75.8,Ibrahim Zadran,22,25,3,1,88.0,Rahmat Shah,18,25,1,0,72.0,Hashmatullah Shahidi(c),18.0,38.0,2.0,0.0,47.36,Najibullah Zadran,5.0,13.0,0.0,0.0,38.46,Mohammad Nabi,6.0,12.0,0.0,0.0,50.00,Azmatullah Omarzai,22.0,20.0,4.0,0.0,110.0,Rashid Khan,9.0,16.0,1.0,0.0,56.25,Mujeeb Ur Rahman,1.0,4.0,0.0,0.0,25.0,Naveen-ul-Haq,0.0,6.0,0.0,0.0,0.0,Fazalhaq Farooqi,0,3,0,0,0.00
3,Bangladesh,Tanzid Hasan,5,13,1,0,38.46,Litton Das,13,18,2,0,72.22,Mehidy Hasan Miraz,57,73,5,0,78.08,Najmul Hossain Shanto,59.0,83.0,3.0,1.0,71.08,Shakib Al Hasan(c),14.0,19.0,2.0,0.0,73.68,Mushfiqur Rahim,2.0,3.0,0.0,0.0,66.66,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0,0,0,0,0.0
4,South Africa,Quinton de Kock,100,84,12,3,119.04,Temba Bavuma(c),8,5,2,0,160.0,Rassie van der Dussen,108,110,13,2,98.18,Aiden Markram,106.0,54.0,14.0,3.0,196.29,Heinrich Klaasen,32.0,20.0,1.0,3.0,160.0,David Miller,39.0,21.0,3.0,2.0,185.71,Marco Jansen,12.0,7.0,0.0,1.0,171.42,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0,0,0,0,0.0
4,Sri Lanka,Pathum Nissanka,0,3,0,0,0.0,Kusal Perera,7,15,1,0,46.66,Kusal Mendis,76,42,4,8,180.95,Sadeera Samarawickrama,23.0,19.0,3.0,1.0,121.05,Charith Asalanka,79.0,65.0,8.0,4.0,121.53,Dhananjaya de Silva,11.0,14.0,1.0,0.0,78.57,Dasun Shanaka(c),68.0,62.0,6.0,3.0,109.67,Dunith Wellalage,0.0,1.0,0.0,0.0,0.0,Kasun Rajitha,33.0,31.0,4.0,1.0,106.45,Matheesha Pathirana,5.0,16.0,1.0,0.0,31.25,Dilshan Madushanka,4,2,1,0,200.00
5,Australia,David Warner,41,52,6,0,78.84,Mitchell Marsh,0,6,0,0,0.0,Steven Smith,46,71,5,0,64.78,Marnus Labuschagne,27.0,41.0,1.0,0.0,65.85,Glenn Maxwell,15.0,25.0,1.0,0.0,60.0,Alex Carey,0.0,2.0,0.0,0.0,0.00,Cameron Green,8.0,20.0,0.0,0.0,40.0,Pat Cummins(c),15.0,24.0,1.0,1.0,62.5,Mitchell Starc,28.0,35.0,2.0,1.0,80.0,Adam Zampa,6.0,20.0,0.0,0.0,30.0,Josh Hazlewood,1,1,0,0,100.00
5,India,Rohit Sharma(c),0,6,0,0,0.0,Ishan Kishan,0,1,0,0,0.0,Virat Kohli,85,116,6,0,73.27,Shreyas Iyer,0.0,3.0,0.0,0.0,0.0,KL Rahul,97.0,115.0,8.0,2.0,84.34,Hardik Pandya,11.0,8.0,0.0,1.0,137.50,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0.0,0.0,0.0,0.0,0.0,Not Applicable,0,0,0,0,0.0
